RBD;ESTABLECIMIENTO;LATITUD;LONGITUD;NOM_COM_RBD;COD_REG_RBD
1;LICEO POLITECNICO ARICA;-18,4872;-70,295212;ARICA;15
2;PARVULARIO LAS ESPIGUITAS;-18,46986198;-70,30275726;ARICA;15
3;ESC. PEDRO VICENTE GUTIERREZ TORRES;-18,50358009;-70,26082611;ARICA;15
4;LICEO OCTAVIO PALMA PEREZ;-18,474239;-70,308273;ARICA;15
5;JOVINA NARANJO FERNANDEZ;-18,4769;-70,313454;ARICA;15
7;L. POLI. ANTONIO VARAS DE LA BARRA;-18,476151;-70,288368;ARICA;15
8;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;-18,482491;-70,317581;ARICA;15
9;ESCUELA REPUBLICA DE ISRAEL;-18,486691;-70,30452;ARICA;15
10;ESCUELA REPUBLICA DE FRANCIA;-18,474369;-70,309036;ARICA;15
11;ESC. GRAL. PEDRO LAGOS MARCHANT;-18,491011;-70,311577;ARICA;15
12;ESCUELA GRAL JOSE MIGUEL CARRERA;-18,49193;-70,293968;ARICA;15
13;ESCUELA MANUEL RODRIGUEZ ERDOYZA;-18,48134;-70,285347;ARICA;15
14;ESCUELA ROMULO J. PENA MATURANA;-18,481239;-70,289757;ARICA;15
15;LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI;-18,47138596;-70,300354;ARICA;15
16;ESCUELA REGIMIENTO RANCAGUA;-18,474831;-70,308777;ARICA;15
17;ESCUELA SUBTTE. LUIS CRUZ MARTINEZ;-18,46727;-70,290939;ARICA;15
18;ESC. COMTE. JUAN JOSE SAN MARTIN;-18,476681;-70,287788;ARICA;15
19;ESC. HUMBERTO VALENZUELA GARCIA;-18,474661;-70,291908;ARICA;15
20;ESCUELA TUCAPEL;-18,4797;-70,295502;ARICA;15
21;ESCUELA CARLOS GUIRAO MASSIF;-18,48379188;-70,30008008;ARICA;15
22;ESCUELA GABRIELA MISTRAL;-18,44829;-70,290649;ARICA;15
25;COLEGIO CENTENARIO DE ARICA;-18,440001;-70,293381;ARICA;15
26;ESCUELA REPUBLICA DE ARGENTINA;-18,48361;-70,300591;ARICA;15
27;ESCUELA ESMERALDA;-18,483049;-70,308029;ARICA;15
28;ESCUELA RICARDO SILVA ARRIAGADA;-18,485069;-70,294403;ARICA;15
29;ESCUELA AMERICA;-18,47761;-70,28302;ARICA;15
30;ESCUELA DR. RICARDO OLEA GUERRA;-18,48061752;-70,28401184;ARICA;15
31;ESCUELA DARIO SALAS DIAZ;-18,50066;-70,254593;ARICA;15
32;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.;-18,51926;-70,178741;ARICA;15
33;ESCUELA CARLOS CONDELL DE LA HAZA;-18,41711;-70,225853;ARICA;15
35;ESCUELA GRAL. MANUEL BAQUEDANO;-18,451719;-70,067574;ARICA;15
36;ESCUELA IGNACIO CARRERA PINTO;-18,4956;-70,283524;ARICA;15
38;ESCUELA ESPAÑA;-18,558821;-70,100723;ARICA;15
39;ESCUELA PAMPA ALGODONAL;-18,578211;-69,965172;ARICA;15
41;ESCUELA VALLE DE CHACA;-18,820641;-70,140381;ARICA;15
42;ESCUELA MOLINOS LLUTA;-18,38175;-69,944893;ARICA;15
43;JARDIN INFANTIL CEPILLIN;-18,439636;-70,290726;ARICA;15
